Company Name,Symbol,Share Volume,Trade volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Traded Price (Rs.),Change (Rs.),Change Percentage (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2655,6,66.90,66.40,66.40,63.00,63.00,-3.90,-5.83
ABANS FINANCE PLC,AFSL.N0000,966,3,18.50,18.00,18.00,17.50,17.80,-0.70,-3.78
ACCESS ENGINEERING PLC,AEL.N0000,2874770,487,18.40,18.10,18.10,17.50,17.70,-0.70,-3.80
ACL CABLES PLC,ACL.N0000,11678,35,38.00,37.70,38.00,36.10,37.80,-0.20,-0.53
ACL PLASTICS PLC,APLA.N0000,124,4,118.10,118.20,118.20,118.00,118.20,0.10,0.08
ACME PRINTING & PACKAGING PLC,ACME.N0000,25536,5,4.20,4.30,4.30,4.10,4.20,0.00,0.00
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,6427,7,24.00,24.00,24.00,23.40,23.90,-0.10,-0.42
AITKEN SPENCE PLC,SPEN.N0000,31622,40,44.00,43.60,43.80,42.60,43.00,-1.00,-2.27
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6,4,45.00,45.00,45.20,45.00,45.00,0.00,0.00
ALUMEX PLC,ALUM.N0000,34391,19,12.00,12.00,12.00,11.80,11.80,-0.20,-1.67
AMANA BANK PLC,ABL.N0000,11421,3,2.80,2.70,2.70,2.70,2.70,-0.10,-3.57
AMANA TAKAFUL  PLC,ATL.N0000,2525,4,5.10,5.10,5.30,5.00,5.00,-0.10,-1.96
AMANA TAKAFUL LIFE PLC,ATLL.N0000,64,1,6.80,7.40,7.40,7.40,6.80,0.00,0.00
AMAYA LEISURE  PLC,CONN.N0000,192,6,32.90,31.40,32.90,31.40,31.80,-1.10,-3.34
AMBEON CAPITAL PLC,TAP.N0000,100,1,4.50,4.70,4.70,4.70,4.70,0.20,4.44
AMBEON HOLDINGS PLC,GREG.N0000,301160,102,12.30,12.30,12.30,11.90,12.00,-0.30,-2.44
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,458300,43,1.00,0.90,1.00,0.90,0.90,-0.10,-10.00
ARPICO FINANCE COMPANY PLC,ARPI.N0000,38,6,148.30,150.00,150.00,145.10,148.30,0.00,0.00
ASIA CAPITAL PLC,ACAP.N0000,26265,25,7.30,7.50,7.50,7.00,7.00,-0.30,-4.11
ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,594529,49,2.20,2.10,2.20,2.10,2.10,-0.10,-4.55
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,800,5,37.70,37.00,38.00,36.80,38.00,0.30,0.80
ASIRI  SURGICAL HOSPITAL PLC,AMSL.N0000,5000,8,10.20,10.30,10.30,10.00,10.00,-0.20,-1.96
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1025,3,22.40,22.90,22.90,22.40,22.40,0.00,0.00
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,8,1,429.90,439.90,439.90,439.90,429.90,0.00,0.00
B P P L HOLDINGS PLC,BPPL.N0000,41480,20,10.80,10.60,10.90,10.50,10.90,0.10,0.93
BAIRAHA FARMS PLC,BFL.N0000,48747,38,99.00,100.00,100.00,98.00,100.00,1.00,1.01
BALANGODA PLANTATIONS PLC,BALA.N0000,18800,10,10.90,10.90,10.90,10.80,10.80,-0.10,-0.92
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,3994,10,6.90,6.40,6.40,6.20,6.30,-0.60,-8.70
BERUWALA RESORTS PLC,BERU.N0000,1,1,0.60,0.70,0.70,0.70,0.60,0.00,0.00
BIMPUTH FINANCE PLC,BLI.N0000,1,1,18.00,18.00,18.00,18.00,18.00,0.00,0.00
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,10000,1,0.30,0.30,0.30,0.30,0.30,0.00,0.00
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,2400,3,0.70,0.70,0.70,0.60,0.60,-0.10,-14.29
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,18163,11,14.10,14.10,14.10,14.10,14.10,0.00,0.00
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,575,5,9.20,9.20,9.20,9.20,9.20,0.00,0.00
BROWN & COMPANY PLC,BRWN.N0000,7281,17,73.00,74.80,74.80,70.00,70.50,-2.50,-3.42
BROWNS BEACH HOTELS PLC,BBH.N0000,2102,3,11.60,11.60,11.60,11.40,11.50,-0.10,-0.86
BROWNS INVESTMENTS PLC,BIL.N0000,16411980,828,4.60,4.70,4.90,4.50,4.70,0.10,2.17
C M HOLDINGS PLC,COLO.N0000,7872,13,55.10,55.20,55.20,55.10,55.20,0.10,0.18
C. W. MACKIE PLC,CWM.N0000,5,1,44.00,45.00,45.00,45.00,44.00,0.00,0.00
CANDOR OPPORTUNITIES FUND,COF.U0000,24,2,6.60,6.90,6.90,6.80,6.60,0.00,0.00
CARGILLS (CEYLON) PLC,CARG.N0000,81,3,189.00,189.00,189.00,189.00,189.00,0.00,0.00
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,49250,67,45.00,46.20,53.90,46.20,51.20,6.20,13.78
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,508,3,94.20,93.60,93.60,93.60,93.60,-0.60,-0.64
CENTRAL INDUSTRIES PLC,CIND.N0000,20683,17,41.00,40.80,41.40,40.10,41.10,0.10,0.24
CEYLINCO INSURANCE PLC,CINS.N0000,5900,10,1857.00,1857.00,1857.10,1857.00,1857.00,0.00,0.00
CEYLINCO INSURANCE PLC,CINS.X0000,74,4,775.00,775.10,776.00,775.10,775.00,0.00,0.00
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,2,1,848.60,950.00,950.00,950.00,848.60,0.00,0.00
CEYLON COLD STORES PLC,CCS.N0000,126,6,760.00,750.00,750.00,740.00,747.90,-12.10,-1.59
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,15532,20,62.40,62.10,62.80,61.70,61.70,-0.70,-1.12
CEYLON INVESTMENT PLC,CINV.N0000,235,2,42.60,44.00,44.00,42.50,43.90,1.30,3.05
CEYLON TEA BROKERS PLC,CTBL.N0000,164191,24,3.10,3.10,3.10,3.00,3.10,0.00,0.00
CEYLON TOBACCO COMPANY PLC,CTC.N0000,41,6,1150.60,1200.00,1200.00,1200.00,1150.60,0.00,0.00
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,24680,54,64.00,64.00,64.00,63.00,63.00,-1.00,-1.56
CIC HOLDINGS PLC,CIC.X0000,3702,6,44.00,41.50,43.90,41.50,41.60,-2.40,-5.45
CIC HOLDINGS PLC,CIC.N0000,10,1,56.00,56.50,56.50,56.50,56.00,0.00,0.00
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,33810,26,68.10,69.50,69.90,65.50,66.60,-1.50,-2.20
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,75217,24,95.00,95.00,95.00,90.00,95.00,0.00,0.00
CITRUS LEISURE  PLC,REEF.N0000,9189,6,6.00,6.00,6.00,5.90,5.90,-0.10,-1.67
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,305,16,804.80,825.00,900.00,825.00,872.10,67.30,8.36
COLOMBO DOCKYARD PLC,DOCK.N0000,100,1,54.00,55.00,55.00,55.00,55.00,1.00,1.85
COLOMBO LAND & DEVELOPMENT COMPANY PLC,CLND.N0000,6801,16,21.80,21.30,21.80,20.00,20.90,-0.90,-4.13
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,196725,69,106.00,105.20,105.20,103.00,103.70,-2.30,-2.17
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,10001,8,90.50,89.10,90.00,89.00,89.00,-1.50,-1.66
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,1059,10,28.50,28.10,28.10,27.60,27.80,-0.70,-2.46
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,500,1,74.20,75.00,75.00,75.00,75.00,0.80,1.08
COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,1151,5,2.90,2.90,3.00,2.90,2.90,0.00,0.00
DANKOTUWA PORCELAIN PLC,DPL.N0000,52526,26,7.10,7.20,7.20,6.80,6.90,-0.20,-2.82
DFCC BANK PLC,DFCC.N0000,88875,42,92.90,92.80,92.80,88.00,90.00,-2.90,-3.12
DIALOG AXIATA PLC,DIAL.N0000,6469881,67,10.70,10.70,10.70,10.50,10.50,-0.20,-1.87
DIALOG FINANCE PLC,CALF.N0000,4768,12,38.00,39.50,39.50,38.00,38.00,0.00,0.00
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,719,21,299.50,302.00,302.00,300.00,300.00,0.50,0.17
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,23,5,590.50,580.00,580.00,580.00,590.50,0.00,0.00
DIPPED PRODUCTS PLC,DIPD.N0000,35,2,80.00,79.90,79.90,79.90,80.00,0.00,0.00
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,3815,11,16.50,16.90,16.90,16.30,16.40,-0.10,-0.61
DOLPHIN HOTELS PLC,STAF.N0000,5600,2,23.60,23.60,23.60,23.60,23.60,0.00,0.00
DUNAMIS CAPITAL PLC,CSEC.N0000,1511,21,47.60,47.40,49.60,47.10,48.60,1.00,2.10
E-CHANNELLING PLC,ECL.N0000,1185,2,5.00,5.20,5.20,5.20,5.20,0.20,4.00
EAST WEST PROPERTIES PLC,EAST.N0000,87231,41,8.80,8.80,8.80,8.70,8.70,-0.10,-1.14
EASTERN MERCHANTS PLC,EMER.N0000,699,2,4.20,4.10,4.10,4.00,4.00,-0.20,-4.76
EDEN HOTEL LANKA PLC,EDEN.N0000,70,3,13.90,13.70,13.70,13.60,13.90,0.00,0.00
ELPITIYA PLANTATIONS PLC,ELPL.N0000,8129,9,19.60,20.10,20.10,19.50,20.00,0.40,2.04
EXPOLANKA HOLDINGS PLC,EXPO.N0000,15900,6,5.50,5.50,5.60,5.50,5.60,0.10,1.82
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,116766,106,51.30,52.40,53.00,50.90,52.40,1.10,2.14
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,100,1,6.90,6.70,6.70,6.70,6.70,-0.20,-2.90
GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,1200,3,24.50,24.30,24.30,24.00,24.10,-0.40,-1.63
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,10,1,18.00,18.60,18.60,18.60,18.00,0.00,0.00
HATTON NATIONAL BANK PLC,HNB.N0000,52348,87,163.30,163.90,163.90,159.00,160.00,-3.30,-2.02
HATTON NATIONAL BANK PLC,HNB.X0000,5469,19,140.80,142.00,142.00,139.00,139.00,-1.80,-1.28
HAYCARB PLC,HAYC.N0000,673,6,144.50,145.00,147.00,144.60,145.00,0.50,0.35
HAYLEYS FABRIC PLC,MGT.N0000,356225,98,14.90,14.90,14.90,14.60,14.70,-0.20,-1.34
HAYLEYS FIBRE PLC,HEXP.N0000,2309,7,94.10,94.00,94.00,92.20,94.00,-0.10,-0.11
HAYLEYS PLC,HAYL.N0000,2356,9,153.30,153.50,157.00,153.50,154.00,0.70,0.46
HEMAS HOLDINGS PLC,HHL.N0000,514,3,75.00,75.00,75.00,74.90,74.90,-0.10,-0.13
HIKKADUWA BEACH RESORT PLC,CITH.N0000,29001,14,4.20,4.20,4.20,4.00,4.00,-0.20,-4.76
HNB ASSURANCE PLC,HASU.N0000,45,4,135.00,134.00,134.00,130.10,135.00,0.00,0.00
HOTEL SIGIRIYA PLC,HSIG.N0000,5203,8,55.00,52.70,55.80,52.50,52.50,-2.50,-4.55
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,20,1,29.90,28.50,28.50,28.50,29.90,0.00,0.00
HVA FOODS PLC,HVA.N0000,197465,61,3.80,3.70,3.70,3.50,3.60,-0.20,-5.26
JANASHAKTHI INSURANCE COMPANY PLC,JINS.N0000,98267,94,36.50,36.20,37.00,35.00,36.30,-0.20,-0.55
JOHN KEELLS HOLDINGS PLC,JKH.N0000,62112,58,151.60,152.00,152.00,150.50,151.10,-0.50,-0.33
JOHN KEELLS HOTELS PLC,KHL.N0000,32113,27,7.40,7.40,7.50,7.10,7.10,-0.30,-4.05
KEGALLE PLANTATIONS PLC,KGAL.N0000,550,2,59.40,59.10,59.40,59.10,59.10,-0.30,-0.51
KELANI CABLES PLC,KCAB.N0000,100,1,78.00,78.00,78.00,78.00,78.00,0.00,0.00
KELANI TYRES PLC,TYRE.N0000,8920,19,39.50,39.60,39.60,37.00,38.00,-1.50,-3.80
KELSEY DEVELOPMENTS PLC,KDL.N0000,2,1,33.20,35.00,35.00,35.00,33.20,0.00,0.00
KOTAGALA PLANTATIONS PLC,KOTA.N0000,5020,3,7.00,7.00,7.00,7.00,7.00,0.00,0.00
KOTMALE HOLDINGS PLC,LAMB.N0000,10,1,185.00,182.00,182.00,182.00,185.00,0.00,0.00
L B FINANCE PLC,LFIN.N0000,2200,11,130.10,130.20,131.50,128.50,128.50,-1.60,-1.23
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,2148,9,62.50,62.50,62.50,62.40,62.40,-0.10,-0.16
LANKA ASHOK LEYLAND PLC,ASHO.N0000,14,5,762.20,794.90,795.00,779.50,762.20,0.00,0.00
LANKA IOC PLC,LIOC.N0000,77253,62,16.80,16.80,16.80,16.40,16.50,-0.30,-1.79
LANKA MILK FOODS (CWE) PLC,LMF.N0000,1403,2,99.10,100.10,100.10,100.10,100.10,1.00,1.01
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,23846,113,43.70,44.10,44.10,40.00,42.70,-1.00,-2.29
LANKA WALLTILES PLC,LWL.N0000,775,9,59.50,59.50,59.50,59.50,59.50,0.00,0.00
LANKEM CEYLON PLC,LCEY.N0000,16,4,26.90,25.50,26.80,25.50,26.90,0.00,0.00
LANKEM DEVELOPMENTS PLC,LDEV.N0000,197430,55,3.50,3.40,3.60,3.40,3.40,-0.10,-2.86
LAUGFS GAS PLC,LGL.N0000,3390,8,16.40,16.30,16.40,16.30,16.40,0.00,0.00
LAUGFS GAS PLC,LGL.X0000,5975,16,13.30,13.20,13.20,13.00,13.00,-0.30,-2.26
LAXAPANA BATTERIES PLC,LITE.N0000,3800,3,10.10,10.00,10.00,9.70,9.70,-0.40,-3.96
LION BREWERY CEYLON PLC,LION.N0000,169706,10,600.00,601.00,600.00,600.00,600.00,0.00,0.00
LOLC FINANCE PLC,LOFC.N0000,296850,51,3.60,3.70,3.80,3.60,3.60,0.00,0.00
LOLC HOLDINGS PLC,LOLC.N0000,9036,19,126.00,125.00,126.00,123.00,125.00,-1.00,-0.79
LOTUS HYDRO POWER PLC,HPFL.N0000,1337,6,5.50,5.30,5.50,5.30,5.30,-0.20,-3.64
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,200,1,1.40,1.40,1.40,1.40,1.40,0.00,0.00
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,10000,5,0.80,0.80,0.80,0.80,0.80,0.00,0.00
LVL ENERGY FUND PLC,LVEF.N0000,58,2,7.90,7.90,7.90,7.90,7.90,0.00,0.00
MACKWOODS ENERGY PLC,MEL.N0000,524,2,2.10,2.10,2.20,2.10,2.10,0.00,0.00
MADULSIMA PLANTATIONS PLC,MADU.N0000,98,2,5.90,5.90,5.90,5.90,5.90,0.00,0.00
MAHAWELI COCONUT PLANTATIONS LIMITED,MCPL.N0000,107,4,21.10,21.30,21.30,20.90,21.10,0.00,0.00
MAHAWELI REACH HOTELS PLC,MRH.N0000,2100,7,14.60,14.50,14.50,14.00,14.20,-0.40,-2.74
MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000,22199,10,6.00,6.00,6.00,6.00,6.00,0.00,0.00
MALWATTE VALLEY PLANTATIONS PLC,MAL.X0000,3400,4,4.10,4.10,4.10,4.00,4.10,0.00,0.00
MARAWILA RESORTS PLC,MARA.N0000,21297,9,1.50,1.50,1.50,1.40,1.40,-0.10,-6.67
MELSTACORP PLC,MELS.N0000,6920,11,43.50,44.00,44.00,43.50,43.50,0.00,0.00
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,17263,27,9.20,9.20,9.20,8.90,9.00,-0.20,-2.17
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,2940,5,7.00,6.90,7.20,6.80,7.20,0.20,2.86
MULLER AND PHIPPS (CEYLON) PLC,MULL.N0000,22533,7,0.70,0.70,0.70,0.60,0.60,-0.10,-14.29
MULTI FINANCE PLC,MFL.N0000,990,3,14.00,13.10,13.10,13.10,13.10,-0.90,-6.43
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,600,4,76.00,76.00,76.00,75.90,75.90,-0.10,-0.13
NATION LANKA FINANCE PLC,CSF.N0000,1006502,48,0.70,0.60,0.70,0.60,0.60,-0.10,-14.29
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,16411,44,103.00,102.70,103.00,101.00,101.50,-1.50,-1.46
NATIONS TRUST BANK PLC,NTB.N0000,85,5,83.80,81.00,81.00,80.00,83.80,0.00,0.00
NAWALOKA HOSPITALS PLC,NHL.N0000,69500,9,3.90,3.80,4.40,3.80,3.90,0.00,0.00
NESTLE LANKA PLC,NEST.N0000,1308,18,1349.80,1300.20,1340.00,1300.00,1340.00,-9.80,-0.73
ODEL PLC,ODEL.N0000,555,4,26.20,26.20,26.20,26.10,26.10,-0.10,-0.38
ON'ALLY HOLDINGS PLC,ONAL.N0000,4752,44,35.00,34.10,38.00,30.10,37.40,2.40,6.86
ORIENT FINANCE PLC,BFN.N0000,16003,16,14.10,14.40,14.40,13.50,14.00,-0.10,-0.71
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,673560,20,15.20,15.20,15.20,15.20,15.20,0.00,0.00
PALM GARDEN HOTELS PLC,PALM.N0000,5,1,22.70,22.80,22.80,22.80,22.70,0.00,0.00
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,35747,10,13.70,13.50,13.60,13.40,13.50,-0.20,-1.46
PANASIAN POWER PLC,PAP.N0000,1772253,159,3.60,3.60,3.60,3.40,3.50,-0.10,-2.78
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,25,4,23.40,23.90,23.90,23.90,23.40,0.00,0.00
PEOPLE'S INSURANCE PLC,PINS.N0000,305300,9,21.50,21.10,21.50,21.00,21.30,-0.20,-0.93
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,17175,26,15.00,14.90,14.90,14.80,14.80,-0.20,-1.33
PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,1215,2,10.00,10.00,10.50,10.00,10.40,0.40,4.00
PIRAMAL GLASS CEYLON  PLC,GLAS.N0000,163231,18,3.70,3.70,3.80,3.70,3.80,0.10,2.70
PRIME FINANCE PLC,GSF.N0000,908,8,16.00,15.90,16.10,15.50,16.10,0.10,0.63
PROPERTY DEVELOPMENT PLC,PDL.N0000,202,5,171.40,159.00,159.00,156.30,158.10,-13.30,-7.76
R I L PROPERTY PLC,RIL.N0000,62271,10,6.30,6.00,6.00,6.00,6.00,-0.30,-4.76
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,2027,5,24.30,26.50,26.50,23.10,23.10,-1.20,-4.94
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,6023,6,2.10,2.10,2.10,2.00,2.00,-0.10,-4.76
RAMBODA FALLS PLC,RFL.N0000,4,2,18.10,19.40,19.40,18.00,18.10,0.00,0.00
REGNIS(LANKA) PLC,REG.N0000,5459,19,69.60,68.00,68.00,67.00,67.00,-2.60,-3.74
RENUKA AGRI FOODS PLC,RAL.N0000,2105,3,2.40,2.30,2.40,2.30,2.40,0.00,0.00
RENUKA CAPITAL PLC,KZOO.N0000,253711,22,2.80,2.80,2.90,2.70,2.80,0.00,0.00
RENUKA CITY HOTEL PLC,RENU.N0000,426,9,238.40,225.00,234.90,218.10,218.70,-19.70,-8.26
RENUKA FOODS PLC,COCO.X0000,2101,3,10.70,11.00,11.30,11.00,11.00,0.30,2.80
RENUKA HOLDINGS PLC,RHL.X0000,9500,1,12.00,11.50,11.50,11.50,11.50,-0.50,-4.17
RENUKA HOLDINGS PLC,RHL.N0000,500,1,16.80,17.00,17.00,17.00,17.00,0.20,1.19
RESUS ENERGY PLC,HPWR.N0000,8724,10,22.80,23.00,23.10,22.80,22.80,0.00,0.00
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,29335,37,10.50,10.40,10.50,10.30,10.40,-0.10,-0.95
RICHARD PIERIS EXPORTS PLC,REXP.N0000,7473,16,218.60,217.10,222.00,216.00,219.00,0.40,0.18
ROYAL CERAMICS LANKA PLC,RCL.N0000,7667,28,66.00,66.00,66.00,64.00,64.00,-2.00,-3.03
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,1016,4,15.90,15.90,15.90,15.60,15.60,-0.30,-1.89
SAMPATH BANK PLC,SAMP.N0000,738229,301,160.70,160.10,161.00,158.10,158.50,-2.20,-1.37
SAMSON INTERNATIONAL PLC,SIL.N0000,500,6,91.00,86.00,86.00,84.00,85.10,-5.90,-6.48
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,13850,7,6.50,6.60,6.60,6.40,6.50,0.00,0.00
SERENDIB HOTELS PLC,SHOT.X0000,3000,1,12.50,12.50,12.50,12.50,12.50,0.00,0.00
SERENDIB HOTELS PLC,SHOT.N0000,4,2,19.00,19.00,19.00,19.00,19.00,0.00,0.00
SEYLAN BANK PLC,SEYB.X0000,1164778,714,37.00,33.90,33.90,28.20,28.90,-8.10,-21.89
SEYLAN BANK PLC,SEYB.N0000,87789,297,68.50,60.00,60.00,51.40,52.90,-15.60,-22.77
SEYLAN DEVELOPMENTS PLC,CSD.N0000,9222,11,10.90,10.90,10.90,10.50,10.70,-0.20,-1.83
SIERRA CABLES PLC,SIRA.N0000,762188,62,2.00,1.90,2.00,1.90,1.90,-0.10,-5.00
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,128,3,42.00,41.80,41.80,40.00,40.00,-2.00,-4.76
SINGER FINANCE (LANKA) PLC,SFIN.N0000,26723,27,13.00,12.90,13.00,12.80,12.80,-0.20,-1.54
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,2082,18,64.30,60.00,60.00,59.10,59.10,-5.20,-8.09
SMB LEASING PLC,SEMB.X0000,10020,3,0.30,0.30,0.30,0.20,0.20,-0.10,-33.33
SMB LEASING PLC,SEMB.N0000,100,1,0.50,0.50,0.50,0.50,0.50,0.00,0.00
SOFTLOGIC CAPITAL PLC,SCAP.N0000,602,3,5.40,5.70,5.70,5.30,5.30,-0.10,-1.85
SOFTLOGIC FINANCE PLC,CRL.N0000,2556,14,20.70,20.00,21.30,19.10,19.30,-1.40,-6.76
SOFTLOGIC HOLDINGS PLC,SHL.N0000,8052,12,15.90,15.70,15.70,15.50,15.70,-0.20,-1.26
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,2190,12,41.00,41.00,41.00,40.00,40.20,-0.80,-1.95
SRI LANKA TELECOM PLC,SLTL.N0000,45504,132,31.80,31.10,32.40,30.00,31.50,-0.30,-0.94
SUNSHINE HOLDINGS PLC,SUN.N0000,210,5,45.00,46.00,46.00,44.90,44.90,-0.10,-0.22
SWISSTEK (CEYLON) PLC,PARQ.N0000,4144,18,39.00,37.00,38.50,37.00,38.40,-0.60,-1.54
TAL LANKA HOTELS PLC,TAJ.N0000,1086,8,11.10,10.50,11.50,10.50,11.30,0.20,1.80
TALAWAKELLE TEA ESTATES  PLC,TPL.N0000,11416,13,45.90,45.90,46.00,45.90,46.00,0.10,0.22
TANGERINE BEACH HOTELS PLC,TANG.N0000,4,2,41.10,40.90,40.90,40.90,41.10,0.00,0.00
TEEJAY LANKA PLC,TJL.N0000,25403,10,37.20,37.00,37.20,37.00,37.00,-0.20,-0.54
TESS AGRO PLC,TESS.N0000,1358700,41,0.50,0.50,0.60,0.50,0.50,0.00,0.00
TESS AGRO PLC,TESS.X0000,1063201,43,0.40,0.40,0.50,0.30,0.50,0.10,25.00
THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,58700,9,16.50,16.20,16.50,16.00,16.50,0.00,0.00
THE FORTRESS RESORTS PLC,RHTL.N0000,10943,11,9.50,9.60,9.60,9.50,9.50,0.00,0.00
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,7,4,5.00,5.10,5.20,5.10,5.00,0.00,0.00
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,1,1,1019.10,1020.00,1020.00,1020.00,1019.10,0.00,0.00
THREE ACRE FARMS PLC,TAFL.N0000,5603,22,103.90,100.90,103.90,100.00,100.50,-3.40,-3.27
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,129410,75,26.90,26.50,26.90,26.20,26.50,-0.40,-1.49
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,194358,62,32.40,32.00,32.40,31.20,32.00,-0.40,-1.23
TRANS ASIA HOTELS PLC,TRAN.N0000,594,9,72.00,71.90,71.90,66.00,66.20,-5.80,-8.06
UNION ASSURANCE PLC,UAL.N0000,258,4,337.60,326.00,335.00,326.00,335.00,-2.60,-0.77
UNION BANK OF COLOMBO PLC,UBC.N0000,526121,116,12.80,12.80,12.80,12.60,12.70,-0.10,-0.78
UNISYST ENGINEERING PLC,ALUF.N0000,534,2,14.10,14.20,14.20,14.10,14.10,0.00,0.00
UNITED MOTORS LANKA PLC,UML.N0000,27,3,66.80,66.20,66.20,66.20,66.80,0.00,0.00
VALLIBEL FINANCE PLC,VFIN.N0000,6,2,68.90,68.70,68.70,68.70,68.90,0.00,0.00
VALLIBEL ONE PLC,VONE.N0000,14586,19,16.20,16.20,16.20,15.80,15.90,-0.30,-1.85
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,165171,34,6.10,6.00,6.00,6.00,6.00,-0.10,-1.64
VIDULLANKA PLC,VLL.N0000,112990,18,4.40,4.40,4.40,4.40,4.40,0.00,0.00
WASKADUWA BEACH RESORT PLC,CITW.N0000,12132,3,3.00,3.00,3.10,3.00,3.00,0.00,0.00